atpA	-6299.566	-6291.060	-6295.072	-6295.851
atpB	-4371.015	-4370.071	-4370.961	-4371.011
atpC	-2054.823	-2054.153	-2054.137	-2053.981
atpD	-5431.259	-5423.517	-5419.543	-5421.637
atpE	-642.169	-641.418	-642.086	-642.071
atpF	-2197.439	-2196.033	-2195.838	-2196.167
atpG	-4116.279	-4115.516	-4113.752	-4114.305
atpH	-2364.290	-2363.599	-2364.219	-2364.289
auaH_2	-7098.126	-7097.263	-7094.792	-7094.300
baiN	-14333.545	-14333.510	-14333.417	-14332.974
bamB	-9531.715	-9527.530	-9524.369	-9526.249
bapC	-3746.416	-3741.820	-3745.297	-3745.658
bceT	-8535.971	-8535.945	-8518.042	-8521.842
bepA_2	-16187.701	-16187.699	-16181.588	-16180.207
bfr	-3489.160	-3488.861	-3487.264	-3487.700
bioA	-11074.335	-11072.425	-11071.421	-11071.578
bioB	-7674.985	-7674.984	-7672.394	-7671.459
bioD	-7545.053	-7544.888	-7544.039	-7543.013
bioF	-10198.080	-10190.161	-10197.810	-10198.019
bolA	-2424.941	-2424.941	-2424.903	-2424.788
bpeA_1	-10485.121	-10482.648	-10479.883	-10480.275
bpeB_1	-19115.964	-19114.955	-19111.198	-19113.517
bpeR	-6063.940	-6061.026	-6063.873	-6063.881
bspR	-4528.214	-4526.237	-4519.313	-4518.757
btuD_1	-8518.880	-8497.132	-8512.534	-8513.227
btuF	-9785.725	-9785.652	-9782.197	-9781.361
C1-hpah	-4033.116	-4031.789	-4032.547	-4032.749
cafA	-8981.680	-8981.256	-8976.511	-8974.851
carA_1	-7726.193	-7726.162	-7725.070	-7724.287
carA	-7851.653	-7851.499	-7851.358	-7851.274
carB_1	-12689.564	-12674.065	-12676.958	-12678.623
cbbA	-5786.730	-5786.670	-5786.679	-5786.695
cbl	-5320.403	-5319.784	-5312.793	-5312.256
cc4	-2912.533	-2911.894	-2912.457	-2912.462
cca	-11156.698	-11154.466	-11156.283	-11156.485
ccsA	-6991.973	-6990.910	-6991.174	-6990.470
chaC	-4935.861	-4932.115	-4926.119	-4925.667
cheB_1	-7117.580	-7116.379	-7115.083	-7114.699
cheD	-5023.165	-5022.925	-5019.916	-5019.656
cheR	-7577.675	-7577.581	-7577.514	-7577.183
cheW	-2844.791	-2844.677	-2844.257	-2844.235
cheY_1	-2255.880	-2255.637	-2255.244	-2255.013
cheY1	-2647.389	-2647.311	-2647.159	-2646.986
cheZ	-5659.840	-5659.584	-5659.329	-5659.160
cinA	-6182.305	-6182.009	-6181.878	-6181.728
citA_1	-9646.876	-9645.326	-9644.212	-9645.240
